height,weight,label
169,42,thin
131,84,fat
185,47,thin
198,89,normal
194,58,thin
156,72,fat
159,100,fat
189,39,thin
181,48,thin
174,40,thin
197,41,thin
165,99,fat
141,66,fat
142,62,fat
133,100,fat
142,61,fat
182,99,fat
163,58,normal
143,63,fat
175,40,thin
141,52,fat
164,57,normal
167,47,thin
142,97,fat
186,38,thin
152,51,normal
134,35,normal
197,79,normal
154,46,normal
175,78,fat
176,52,thin
178,65,normal
146,80,fat
123,39,fat
142,96,fat
166,56,normal
174,64,normal
183,100,fat
175,88,fat
185,35,thin
183,87,fat
143,76,fat
130,81,fat
166,40,thin
175,100,fat
161,57,normal
134,68,fat
160,75,fat
142,55,fat
128,63,fat
193,64,thin
125,59,fat
154,46,normal
160,49,normal
195,49,thin
146,39,thin
197,53,thin
160,89,fat
186,52,thin
174,47,thin
200,57,thin
185,93,fat
129,59,fat
169,50,thin
125,73,fat
139,63,fat
140,40,normal
133,37,normal
168,80,fat
196,84,normal
150,79,fat
183,70,normal
135,67,fat
138,67,fat
196,98,fat
176,87,fat
161,82,fat
129,49,fat
137,64,fat
126,61,fat
183,100,fat
165,41,thin
133,99,fat
175,69,normal
163,65,normal
122,63,fat
189,97,fat
129,38,normal
148,84,fat
160,66,fat
163,59,normal
189,55,thin
158,61,normal
181,68,normal
125,52,fat
142,54,fat
152,40,thin
174,46,thin
146,91,fat
146,87,fat
133,63,fat
173,90,fat
193,67,thin
173,45,thin
144,81,fat
121,85,fat
174,54,thin
163,35,thin
130,56,fat
140,42,normal
160,53,normal
134,95,fat
137,58,fat
143,51,normal
155,44,thin
179,59,thin
144,63,fat
194,53,thin
188,42,thin
153,57,normal
155,99,fat
122,55,fat
141,43,normal
122,56,fat
141,83,fat
143,99,fat
164,63,normal
197,64,thin
191,66,thin
181,65,normal
172,55,normal
123,67,fat
127,45,fat
125,75,fat
170,74,fat
167,49,thin
192,49,thin
191,98,fat
133,92,fat
155,49,normal
158,55,normal
120,78,fat
182,71,normal
168,100,fat
179,76,normal
178,36,thin
122,65,fat
143,89,fat
155,91,fat
141,79,fat
154,54,normal
182,61,thin
125,50,fat
140,76,fat
160,72,fat
146,91,fat
144,38,thin
123,86,fat
125,94,fat
154,78,fat
182,93,fat
147,96,fat
152,45,normal
177,57,thin
194,94,normal
144,88,fat
157,39,thin
191,84,normal
182,81,normal
174,88,fat
145,50,normal
146,70,fat
127,65,fat
138,92,fat
150,80,fat
155,99,fat
156,94,fat
166,60,normal
180,69,normal
185,54,thin
197,38,thin
126,66,fat
138,50,fat
166,52,normal
190,53,thin
132,64,fat
180,66,normal
137,76,fat
134,52,fat
151,49,normal
130,92,fat
145,78,fat
198,37,thin
196,76,normal
170,69,normal
186,46,thin
157,72,fat
177,35,thin
147,73,fat
174,99,fat
177,53,thin
169,47,thin
137,90,fat
123,40,fat
137,46,normal
149,77,fat
185,88,fat
141,78,fat
137,79,fat
179,81,fat
143,52,fat
200,67,thin
147,39,thin
150,43,normal
135,52,fat
127,91,fat
177,95,fat
168,65,normal
129,69,fat
178,42,thin
168,70,normal
199,72,thin
172,64,normal
172,74,fat
171,61,normal
154,87,fat
163,84,fat
183,92,fat
143,36,thin
145,49,normal
183,53,thin
177,53,thin
155,35,thin
174,94,fat
127,54,fat
138,69,fat
182,53,thin
184,66,normal
158,86,fat
130,88,fat
134,43,normal
129,45,fat
143,79,fat
120,59,fat
122,67,fat
141,64,fat
150,43,normal
158,41,thin
161,37,thin
188,41,thin
170,57,normal
166,41,thin
138,100,fat
184,41,thin
189,62,thin
135,48,fat
183,91,fat
138,94,fat
120,66,fat
131,51,fat
194,91,normal
148,74,fat
173,66,normal
162,37,thin
167,68,normal
150,35,thin
154,51,normal
165,81,fat
163,39,thin
141,62,fat
162,69,fat
179,67,normal
200,99,normal
170,59,normal
200,49,thin
121,82,fat
145,35,thin
163,47,thin
128,85,fat
126,94,fat
192,40,thin
161,55,normal
192,80,normal
164,93,fat
186,57,thin
192,56,thin
181,86,fat
140,76,fat
178,37,thin
158,71,fat
149,47,normal
151,79,fat
193,54,thin
142,35,thin
160,61,normal
127,49,fat
169,43,thin
191,49,thin
175,38,thin
179,71,normal
135,63,fat
159,71,fat
194,74,normal
179,86,fat
155,98,fat
133,48,fat
146,89,fat
152,75,fat
148,96,fat
182,59,thin
192,36,thin
165,97,fat
147,50,normal
182,99,fat
133,45,fat
185,98,fat
141,58,fat
128,89,fat
175,61,normal
134,91,fat
191,49,thin
160,37,thin
179,41,thin
156,52,normal
200,92,normal
172,75,fat
199,63,thin
194,77,normal
156,84,fat
142,54,fat
196,52,thin
192,47,thin
154,51,normal
194,73,normal
164,42,thin
141,90,fat
192,96,fat
166,62,normal
173,35,thin
127,94,fat
138,80,fat
165,51,normal
133,65,fat
171,72,normal
164,70,fat
170,43,thin
141,41,normal
131,72,fat
144,67,fat
143,71,fat
128,89,fat
192,71,normal
160,73,fat
199,63,thin
198,63,thin
167,67,normal
179,95,fat
165,47,thin
151,60,fat
136,65,fat
151,67,fat
188,95,fat
186,96,fat
130,44,fat
127,84,fat
151,65,fat
176,97,fat
136,89,fat
169,39,thin
153,98,fat
173,96,fat
122,36,normal
196,96,normal
157,64,fat
135,35,normal
137,95,fat
161,43,thin
159,81,fat
193,96,fat
198,67,thin
166,59,normal
188,69,normal
185,50,thin
192,81,normal
152,57,normal
161,73,fat
170,60,normal
129,50,fat
146,56,fat
166,90,fat
147,49,normal
192,88,normal
162,45,thin
166,61,normal
130,43,fat
185,75,normal
174,39,thin
179,88,fat
144,81,fat
176,80,fat
170,35,thin
153,96,fat
161,52,normal
167,99,fat
194,45,thin
187,86,normal
166,45,thin
130,81,fat
134,48,fat
136,94,fat
120,78,fat
122,83,fat
186,67,normal
195,84,normal
148,94,fat
162,51,normal
171,60,normal
146,36,thin
160,40,thin
155,44,thin
139,86,fat
145,65,fat
164,89,fat
124,93,fat
127,91,fat
189,41,thin
188,49,thin
141,77,fat
144,62,fat
184,97,fat
174,94,fat
166,95,fat
126,45,fat
145,50,normal
192,38,thin
166,92,fat
120,75,fat
128,97,fat
159,41,thin
165,55,normal
140,49,fat
154,73,fat
143,78,fat
158,45,thin
166,60,normal
180,40,thin
157,91,fat
199,77,normal
184,46,thin
146,56,fat
146,95,fat
124,57,fat
125,89,fat
163,38,thin
185,64,normal
163,91,fat
153,60,fat
162,77,fat
156,52,normal
151,97,fat
188,48,thin
196,76,normal
129,35,normal
187,42,thin
193,57,thin
144,64,fat
150,51,normal
172,70,normal
157,55,normal
139,56,fat
142,73,fat
148,58,fat
200,43,thin
125,45,fat
130,85,fat
192,63,thin
157,71,fat
156,80,fat
178,68,normal
162,60,normal
143,70,fat
128,42,fat
196,85,normal
164,39,thin
194,82,normal
165,58,normal
149,63,fat
165,64,normal
140,74,fat
152,91,fat
172,86,fat
188,57,thin
195,41,thin
169,66,normal
184,74,normal
178,47,thin
198,95,normal
186,75,normal
122,71,fat
183,51,thin
147,49,normal
139,48,normal
198,92,normal
173,91,fat
199,59,thin
183,45,thin
187,99,fat
147,85,fat
130,60,fat
123,98,fat
157,51,normal
173,69,normal
167,51,thin
186,95,fat
170,74,fat
147,57,fat
168,52,thin
135,72,fat
188,50,thin
166,89,fat
143,63,fat
138,54,fat
145,45,normal
170,58,normal
133,40,normal
141,39,normal
172,56,normal
160,35,thin
174,98,fat
182,60,thin
156,43,thin
167,95,fat
123,78,fat
182,68,normal
188,62,thin
139,35,thin
173,96,fat
151,48,normal
179,57,thin
167,45,thin
174,65,normal
142,75,fat
198,99,fat
131,58,fat
123,48,fat
175,59,normal
140,67,fat
192,80,normal
167,58,normal
170,54,normal
124,84,fat
168,81,fat
199,87,normal
143,61,fat
172,59,normal
182,36,thin
130,84,fat
198,98,normal
124,68,fat
128,73,fat
174,90,fat
136,81,fat
172,65,normal
126,69,fat
130,95,fat
144,42,normal
127,84,fat
182,82,normal
125,86,fat
145,85,fat
169,62,normal
126,42,fat
160,83,fat
120,73,fat
147,72,fat
129,65,fat
150,85,fat
165,39,thin
178,52,thin
141,64,fat
129,68,fat
188,37,thin
187,99,fat
200,42,thin
143,44,normal
180,80,normal
155,80,fat
190,78,normal
152,87,fat
199,59,thin
195,73,normal
151,49,normal
180,79,normal
175,51,thin
134,81,fat
157,40,thin
182,50,thin
166,66,normal
140,44,normal
142,82,fat
157,68,fat
133,93,fat
176,67,normal
192,76,normal
178,77,normal
153,61,fat
131,62,fat
156,37,thin
134,42,normal
179,77,normal
192,51,thin
164,90,fat
145,80,fat
153,94,fat
193,46,thin
149,78,fat
195,38,thin
159,40,thin
151,81,fat
184,89,fat
173,47,thin
135,94,fat
121,80,fat
152,39,thin
178,70,normal
141,81,fat
196,75,normal
172,60,normal
187,87,normal
174,96,fat
144,42,normal
145,50,normal
140,96,fat
129,56,fat
183,37,thin
197,63,thin
139,85,fat
186,46,thin
174,39,thin
181,51,thin
125,82,fat
158,80,fat
168,75,fat
139,41,normal
198,71,thin
149,90,fat
180,86,fat
158,91,fat
140,36,thin
179,65,normal
120,89,fat
154,70,fat
179,94,fat
155,57,normal
162,91,fat
154,91,fat
149,41,thin
167,61,normal
146,37,thin
165,67,normal
124,81,fat
171,37,thin
184,63,normal
198,51,thin
187,40,thin
191,41,thin
141,60,fat
151,96,fat
200,87,normal
150,70,fat
144,42,normal
169,56,normal
122,45,fat
151,51,normal
142,41,normal
175,69,normal
127,87,fat
142,74,fat
132,95,fat
143,90,fat
137,75,fat
183,54,thin
195,82,normal
183,79,normal
180,45,thin
152,97,fat
139,94,fat
200,72,thin
138,65,fat
146,64,fat
168,70,normal
130,90,fat
192,73,normal
191,96,fat
149,36,thin
176,68,normal
169,61,normal
177,91,fat
142,89,fat
179,85,fat
158,77,fat
188,87,normal
138,71,fat
173,54,thin
177,77,normal
148,98,fat
132,47,fat
151,56,normal
168,79,fat
153,62,fat
199,38,thin
125,53,fat
145,66,fat
121,38,fat
179,80,normal
172,53,thin
184,59,thin
121,91,fat
197,53,thin
168,68,normal
181,60,thin
126,75,fat
155,87,fat
198,36,thin
147,93,fat
175,78,fat
195,75,normal
149,96,fat
144,49,normal
131,54,fat
168,83,fat
128,41,fat
167,98,fat
197,38,thin
132,57,fat
140,54,fat
142,60,fat
194,49,thin
168,60,normal
184,58,thin
125,49,fat
138,92,fat
144,66,fat
120,41,fat
124,59,fat
175,77,fat
184,97,fat
183,73,normal
153,42,thin
195,98,fat
154,42,thin
157,62,fat
122,84,fat
171,91,fat
169,95,fat
122,66,fat
159,71,fat
194,91,normal
134,96,fat
176,77,normal
137,47,fat
161,61,normal
194,88,normal
170,83,fat
182,81,normal
153,64,fat
151,61,fat
183,38,thin
157,70,fat
125,64,fat
130,62,fat
189,52,thin
166,93,fat
158,81,fat
154,82,fat
183,75,normal
191,54,thin
188,64,thin
197,38,thin
197,68,thin
120,81,fat
149,56,fat
130,68,fat
193,99,fat
162,90,fat
160,70,fat
124,65,fat
166,99,fat
129,55,fat
175,41,thin
165,35,thin
184,95,fat
163,65,normal
186,89,fat
185,90,fat
180,91,fat
162,55,normal
141,93,fat
146,35,thin
198,86,normal
190,45,thin
134,65,fat
130,64,fat
200,100,fat
140,55,fat
128,79,fat
122,96,fat
127,58,fat
175,79,fat
126,55,fat
162,53,normal
191,86,normal
132,73,fat
182,43,thin
176,88,fat
195,63,thin
187,92,fat
171,80,fat
184,71,normal
164,47,thin
149,41,thin
159,86,fat
132,39,normal
135,85,fat
187,46,thin
153,84,fat
147,99,fat
153,82,fat
160,40,thin
133,76,fat
146,51,normal
127,70,fat
122,54,fat
155,100,fat
148,39,thin
183,35,thin
156,72,fat
173,41,thin
173,94,fat
174,64,normal
136,69,fat
185,82,normal
142,92,fat
160,87,fat
140,35,thin
152,92,fat
195,52,thin
163,48,thin
160,89,fat
130,48,fat
133,99,fat
192,100,fat
137,69,fat
172,78,fat
197,95,normal
155,51,normal
128,62,fat
158,53,normal
134,49,fat
155,58,normal
181,57,thin
195,88,normal
131,60,fat
140,80,fat
163,45,thin
153,89,fat
178,89,fat
184,51,thin
135,54,fat
168,49,thin
154,63,fat
199,100,fat
126,55,fat
139,90,fat
195,75,normal
158,82,fat
141,84,fat
161,88,fat
134,100,fat
185,65,normal
179,74,normal
198,63,thin
124,53,fat
120,38,fat
197,86,normal
167,69,normal
187,37,thin
125,63,fat
139,74,fat
177,48,thin
123,44,fat
173,77,fat
124,67,fat
122,90,fat
179,58,thin
131,86,fat
160,57,normal
156,62,fat
198,78,normal
174,70,normal
156,51,normal
200,51,thin
155,77,fat
197,64,thin
165,93,fat
133,83,fat
135,36,normal
149,85,fat
169,47,thin
149,53,normal
193,35,thin
186,58,thin
170,44,thin
142,45,normal
193,42,thin
122,54,fat
173,43,thin
130,82,fat
147,83,fat
192,36,thin
131,97,fat
195,75,normal
166,73,fat
174,57,normal
159,48,normal
138,46,normal
133,87,fat
182,55,thin
177,67,normal
137,57,fat
167,80,fat
175,93,fat
123,89,fat
152,44,normal
153,93,fat
196,45,thin
145,63,fat
190,44,thin
148,98,fat
146,54,fat
159,96,fat
128,76,fat
134,43,normal
164,75,fat
153,59,fat
197,78,normal
162,48,thin
121,49,fat
189,91,fat
138,56,fat
196,37,thin
132,50,fat
192,40,thin
197,48,thin
154,59,normal
134,72,fat
162,85,fat
190,81,normal
200,41,thin
131,39,normal
138,86,fat
127,61,fat
128,60,fat
190,97,fat
140,38,normal
145,76,fat
157,97,fat
157,98,fat
197,62,thin
164,86,fat
183,67,normal
164,73,fat
190,55,thin
152,48,normal
122,66,fat
157,54,normal
161,84,fat
188,67,normal
129,83,fat
197,81,normal
175,92,fat
133,63,fat
194,36,thin
123,43,fat
123,81,fat
179,64,normal
181,45,thin
188,97,fat
196,62,thin
196,65,thin
137,44,normal
152,58,fat
152,79,fat
122,93,fat
150,97,fat
200,72,thin
130,96,fat
132,92,fat
178,44,thin
200,40,thin
126,85,fat
121,52,fat
126,59,fat
127,90,fat
127,83,fat
132,70,fat
176,71,normal
198,35,thin
127,81,fat
152,37,thin
169,84,fat
191,70,normal
175,93,fat
161,98,fat
148,57,fat
149,99,fat
184,87,fat
180,61,normal
172,40,thin
172,69,normal
153,36,thin
183,90,fat
142,87,fat
200,61,thin
147,71,fat
151,58,fat
181,63,normal
133,38,normal
161,83,fat
168,82,fat
124,62,fat
184,59,thin
132,44,fat
135,60,fat
130,74,fat
135,58,fat
175,37,thin
149,91,fat
150,86,fat
122,65,fat
146,42,normal
151,55,normal
197,68,thin
176,73,normal
138,45,normal
142,51,fat
131,76,fat
139,78,fat
168,81,fat
148,46,normal
133,99,fat
128,57,fat
123,62,fat
121,93,fat
127,65,fat
131,80,fat
198,53,thin
164,71,fat
137,69,fat
164,70,fat
128,36,normal
145,46,normal
187,92,fat
128,70,fat
127,72,fat
197,73,normal
177,71,normal
125,86,fat
195,77,normal
194,41,thin
163,44,thin
124,64,fat
158,91,fat
190,57,thin
168,50,thin
167,36,thin
177,61,normal
121,35,normal
184,87,fat
132,54,fat
175,85,fat
125,78,fat
122,98,fat
126,39,normal
137,64,fat
169,37,thin
130,81,fat
142,47,normal
189,99,fat
188,44,thin
190,52,thin
175,46,thin
121,50,fat
151,94,fat
197,90,normal
137,45,normal
144,87,fat
175,44,thin
145,67,fat
174,36,thin
186,69,normal
193,75,normal
165,63,normal
159,57,normal
195,54,thin
145,39,normal
188,76,normal
129,77,fat
125,54,fat
142,52,fat
121,73,fat
187,85,normal
139,37,normal
148,35,thin
164,73,fat
178,46,thin
169,71,normal
125,86,fat
141,91,fat
165,73,fat
183,46,thin
123,63,fat
145,41,normal
183,97,fat
184,69,normal
190,35,thin
135,41,normal
189,89,normal
146,38,thin
156,62,fat
182,38,thin
156,65,fat
198,87,normal
130,74,fat
180,52,thin
171,78,fat
142,79,fat
156,38,thin
181,64,normal
135,41,normal
156,48,normal
178,57,thin
176,35,thin
198,82,normal
164,70,fat
181,67,normal
184,48,thin
130,66,fat
151,97,fat
158,54,normal
147,63,fat
129,51,fat
173,85,fat
184,81,normal
161,61,normal
138,39,normal
181,92,fat
151,44,normal
192,75,normal
189,35,thin
166,43,thin
171,86,fat
127,91,fat
135,58,fat
162,62,normal
151,94,fat
190,88,normal
157,88,fat
156,80,fat
142,85,fat
198,86,normal
186,64,thin
175,41,thin
149,35,thin
127,47,fat
144,65,fat
159,98,fat
179,35,thin
168,52,thin
182,56,thin
124,51,fat
146,69,fat
158,36,thin
182,44,thin
195,94,normal
173,65,normal
148,100,fat
160,96,fat
123,50,fat
196,98,fat
171,78,fat
180,60,normal
178,41,thin
186,70,normal
197,100,fat
153,72,fat
158,62,normal
181,38,thin
139,88,fat
150,62,fat
135,80,fat
197,85,normal
121,88,fat
173,48,thin
130,44,fat
151,53,normal
128,75,fat
191,91,normal
142,88,fat
190,52,thin
185,62,thin
134,100,fat
145,37,thin
178,53,thin
124,94,fat
200,65,thin
186,47,thin
198,93,normal
134,42,normal
141,76,fat
181,55,thin
154,86,fat
127,83,fat
135,77,fat
190,38,thin
126,63,fat
143,66,fat
188,52,thin
195,93,normal
139,38,normal
190,76,normal
184,37,thin
170,43,thin
129,48,fat
191,41,thin
125,90,fat
194,42,thin
135,66,fat
184,79,normal
141,71,fat
190,39,thin
183,96,fat
181,66,normal
134,98,fat
193,39,thin
183,50,thin
187,74,normal
142,83,fat
163,71,fat
174,83,fat
121,79,fat
175,59,normal
149,60,fat
167,60,normal
123,87,fat
144,62,fat
136,55,fat
190,63,thin
149,44,normal
164,82,fat
187,45,thin
196,90,normal
178,48,thin
148,51,normal
184,56,thin
138,48,fat
135,46,fat
198,36,thin
164,90,fat
140,38,normal
199,64,thin
162,78,fat
174,65,normal
197,80,normal
160,37,thin
128,78,fat
146,82,fat
175,48,thin
133,45,fat
147,80,fat
177,67,normal
176,67,normal
157,53,normal
129,93,fat
195,54,thin
172,39,thin
164,67,normal
126,94,fat
124,39,fat
129,92,fat
132,81,fat
194,56,thin
177,42,thin
195,86,normal
142,35,thin
143,100,fat
134,54,fat
172,65,normal
178,75,normal
157,65,fat
166,40,thin
186,53,thin
195,39,thin
157,88,fat
181,90,fat
120,79,fat
187,43,thin
155,53,normal
136,76,fat
180,99,fat
178,84,fat
157,48,normal
134,75,fat
122,89,fat
147,89,fat
127,62,fat
152,63,fat
153,38,thin
194,93,normal
163,82,fat
138,86,fat
193,80,normal
127,44,fat
194,54,thin
179,77,normal
136,73,fat
125,91,fat
120,36,fat
170,63,normal
162,54,normal
188,70,normal
153,99,fat
191,67,thin
193,94,fat
179,82,fat
145,51,normal
121,85,fat
123,84,fat
121,58,fat
144,40,normal
173,95,fat
197,51,thin
141,38,normal
126,86,fat
134,62,fat
176,40,thin
183,99,fat
147,58,fat
146,85,fat
174,78,fat
200,82,normal
152,71,fat
164,72,fat
152,73,fat
120,86,fat
181,89,fat
121,56,fat
180,84,fat
140,42,normal
157,72,fat
140,53,fat
152,67,fat
153,78,fat
154,43,thin
154,63,fat
177,83,fat
156,83,fat
139,57,fat
152,75,fat
174,39,thin
121,98,fat
139,49,fat
144,85,fat
182,98,fat
190,78,normal
153,46,normal
165,87,fat
190,47,thin
140,55,fat
144,99,fat
169,83,fat
178,47,thin
138,61,fat
128,67,fat
142,60,fat
195,97,fat
131,61,fat
178,88,fat
175,92,fat
165,51,normal
150,93,fat
127,40,normal
175,98,fat
129,87,fat
156,92,fat
143,78,fat
143,67,fat
120,100,fat
161,83,fat
142,91,fat
166,60,normal
129,75,fat
178,72,normal
129,41,normal
151,72,fat
156,39,thin
184,76,normal
159,61,normal
124,71,fat
153,87,fat
125,61,fat
148,48,normal
121,65,fat
131,67,fat
185,100,fat
122,74,fat
152,69,fat
186,76,normal
174,45,thin
189,51,thin
169,86,fat
196,62,thin
126,57,fat
173,43,thin
142,76,fat
171,77,fat
169,70,normal
162,84,fat
184,86,fat
174,92,fat
139,38,normal
149,57,fat
165,92,fat
161,38,thin
126,36,normal
198,71,thin
167,67,normal
167,73,fat
166,65,normal
174,39,thin
140,39,normal
127,75,fat
124,92,fat
180,75,normal
120,82,fat
179,67,normal
152,79,fat
200,95,normal
126,48,fat
196,40,thin
173,86,fat
191,93,fat
155,44,thin
121,84,fat
176,93,fat
168,67,normal
135,56,fat
198,56,thin
182,39,thin
131,42,normal
149,70,fat
122,82,fat
164,36,thin
137,54,fat
146,92,fat
185,87,fat
124,41,fat
197,89,normal
149,80,fat
132,58,fat
166,80,fat
171,90,fat
160,65,fat
125,55,fat
170,39,thin
161,56,normal
188,68,normal
193,74,normal
146,54,fat
149,68,fat
163,93,fat
135,65,fat
145,48,normal
138,38,normal
195,43,thin
188,88,normal
156,97,fat
200,94,normal
164,76,fat
168,48,thin
176,48,thin
127,68,fat
147,58,fat
145,89,fat
186,72,normal
136,85,fat
173,49,thin
164,82,fat
168,62,normal
164,58,normal
131,44,fat
136,84,fat
180,50,thin
125,40,fat
123,82,fat
186,64,thin
168,54,normal
133,47,fat
125,52,fat
169,63,normal
139,81,fat
178,63,normal
156,98,fat
126,56,fat
157,54,normal
137,61,fat
167,50,thin
170,36,thin
186,58,thin
191,94,fat
121,39,fat
164,38,thin
178,69,normal
174,96,fat
161,97,fat
154,42,thin
142,57,fat
134,84,fat
120,80,fat
177,68,normal
178,53,thin
193,37,thin
160,86,fat
124,61,fat
174,85,fat
157,73,fat
125,96,fat
192,68,thin
131,65,fat
130,63,fat
152,90,fat
181,53,thin
120,94,fat
120,69,fat
139,65,fat
181,76,normal
172,96,fat
151,71,fat
172,58,normal
154,35,thin
143,86,fat
158,57,normal
169,99,fat
148,91,fat
141,39,normal
173,63,normal
148,96,fat
138,61,fat
175,47,thin
171,64,normal
126,56,fat
124,87,fat
187,91,fat
150,100,fat
164,59,normal
192,88,normal
193,81,normal
194,38,thin
142,99,fat
160,50,normal
143,76,fat
168,68,normal
195,73,normal
162,80,fat
140,99,fat
126,96,fat
150,76,fat
157,80,fat
165,81,fat
151,84,fat
122,43,fat
179,84,fat
127,57,fat
197,41,thin
156,56,normal
168,37,thin
188,89,fat
185,66,normal
123,85,fat
157,69,fat
179,68,normal
127,47,fat
164,62,normal
173,78,fat
179,85,fat
191,82,normal
135,83,fat
157,48,normal
127,89,fat
162,80,fat
156,88,fat
155,90,fat
155,57,normal
124,86,fat
190,64,thin
166,39,thin
130,100,fat
142,57,fat
130,85,fat
143,68,fat
164,47,thin
148,40,thin
179,59,thin
147,73,fat
193,37,thin
134,99,fat
167,56,normal
191,45,thin
200,51,thin
126,49,fat
186,54,thin
189,41,thin
137,95,fat
173,98,fat
198,89,normal
128,59,fat
168,65,normal
151,42,thin
193,80,normal
189,61,thin
147,72,fat
157,45,thin
145,64,fat
148,57,fat
160,61,normal
170,38,thin
139,62,fat
147,53,normal
180,95,fat
163,69,fat
177,62,normal
148,93,fat
169,83,fat
158,100,fat
173,61,normal
132,66,fat
155,68,fat
188,86,normal
171,63,normal
187,79,normal
186,35,thin
122,56,fat
157,56,normal
133,100,fat
195,45,thin
176,35,thin
194,50,thin
186,92,fat
193,59,thin
144,65,fat
190,75,normal
192,45,thin
148,84,fat
162,94,fat
175,51,thin
185,39,thin
178,69,normal
164,70,fat
153,91,fat
192,64,thin
141,40,normal
146,80,fat
178,100,fat
173,55,thin
193,81,normal
164,53,normal
129,47,fat
131,91,fat
132,41,normal
196,65,thin
164,89,fat
187,83,normal
145,50,normal
199,97,normal
192,87,normal
162,90,fat
177,60,normal
141,68,fat
153,88,fat
136,45,normal
166,36,thin
156,50,normal
165,88,fat
158,83,fat
148,82,fat
120,46,fat
135,61,fat
151,100,fat
179,77,normal
188,91,fat
159,93,fat
156,100,fat
194,91,normal
128,38,normal
137,83,fat
179,72,normal
135,86,fat
133,46,fat
168,65,normal
147,89,fat
128,36,normal
197,55,thin
194,77,normal
146,82,fat
187,91,fat
120,43,fat
134,81,fat
198,93,normal
149,53,normal
144,71,fat
186,51,thin
165,69,fat
144,65,fat
128,97,fat
184,84,normal
190,61,thin
129,78,fat
154,62,fat
120,79,fat
120,93,fat
198,66,thin
153,83,fat
193,54,thin
190,43,thin
173,86,fat
146,73,fat
124,92,fat
138,94,fat
186,56,thin
159,95,fat
179,37,thin
155,100,fat
181,37,thin
161,60,normal
164,62,normal
166,88,fat
175,43,thin
123,53,fat
140,40,normal
171,91,fat
136,43,normal
144,73,fat
120,87,fat
153,57,normal
181,81,normal
121,61,fat
190,42,thin
182,67,normal
158,66,fat
187,67,normal
193,99,fat
152,84,fat
122,77,fat
128,81,fat
123,76,fat
171,43,thin
141,73,fat
197,92,normal
154,51,normal
180,47,thin
184,72,normal
174,87,fat
167,51,thin
133,38,normal
129,53,fat
121,52,fat
154,49,normal
121,60,fat
192,35,thin
185,88,fat
173,59,normal
165,39,thin
177,75,normal
170,61,normal
164,88,fat
181,66,normal
131,44,fat
153,72,fat
182,83,fat
181,74,normal
154,79,fat
141,62,fat
151,78,fat
189,95,fat
150,84,fat
188,49,thin
124,68,fat
198,68,thin
184,99,fat
125,93,fat
170,72,normal
200,57,thin
126,49,fat
148,69,fat
133,88,fat
138,92,fat
175,63,normal
183,59,thin
187,43,thin
120,82,fat
153,35,thin
200,46,thin
123,47,fat
194,47,thin
184,61,thin
145,46,normal
128,85,fat
172,93,fat
170,72,normal
193,57,thin
128,86,fat
126,40,fat
139,93,fat
187,46,thin
182,64,normal
147,51,normal
133,72,fat
187,82,normal
176,50,thin
171,74,fat
177,63,normal
157,63,fat
174,65,normal
173,75,fat
142,70,fat
130,45,fat
184,69,normal
195,36,thin
168,71,fat
143,51,normal
157,55,normal
183,38,thin
194,70,normal
139,45,normal
143,75,fat
143,66,fat
196,77,normal
186,62,thin
183,93,fat
189,39,thin
137,69,fat
